"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 01 12:41:11 IST 2020","Thu Oct 01 12:41:27 IST 2020","15516","","Hotel Result pagination tests","","Hotel Result pagination tests","previous button should take you to previous page","previous button should take you to previous page",""
"passed","Thu Oct 01 12:39:36 IST 2020","Thu Oct 01 12:39:59 IST 2020","23311","","Hotel Result pagination tests","","Hotel Result pagination tests","""before all"" hook for ""pagination click test""","""before all"" hook for ""pagination click test""",""
"passed","Thu Oct 01 12:40:33 IST 2020","Thu Oct 01 12:40:44 IST 2020","11445","","Hotel Result pagination tests","","Hotel Result pagination tests","should hide previous button on first page","should hide previous button on first page",""
"passed","Thu Oct 01 12:42:52 IST 2020","Thu Oct 01 12:42:59 IST 2020","7245","","Hotel Result sorting tests","","Hotel Result sorting tests","sort for Star Rating","sort for Star Rating",""
"passed","Thu Oct 01 12:47:16 IST 2020","Thu Oct 01 12:47:35 IST 2020","18560","","Hotel Details page Test","","Hotel Details page Test","Verify HotelName,Rating,Room Availability","Verify HotelName,Rating,Room Availability",""
"passed","Thu Oct 01 12:41:43 IST 2020","Thu Oct 01 12:42:08 IST 2020","25386","","Hotel Result sorting tests","","Hotel Result sorting tests","""before all"" hook for ""sort for Price per Night""","""before all"" hook for ""sort for Price per Night""",""
"failed","Thu Oct 01 13:41:48 IST 2020","Thu Oct 01 13:41:58 IST 2020","10040","","Home Page Tests","","Home Page Tests","1. Verify Vacation Direct title","1. Verify Vacation Direct title",""
"passed","Thu Oct 01 12:39:15 IST 2020","Thu Oct 01 12:39:16 IST 2020","1107","","Hotel result page tests","","Hotel result page tests","verify result hotel count","verify result hotel count",""
"passed","Thu Oct 01 12:46:40 IST 2020","Thu Oct 01 12:47:16 IST 2020","35808","","Hotel Details page Test","","Hotel Details page Test","""before all"" hook for ""Verify HotelName,Rating,Room Availability""","""before all"" hook for ""Verify HotelName,Rating,Room Availability""",""
"passed","Thu Oct 01 12:41:27 IST 2020","Thu Oct 01 12:41:42 IST 2020","15203","","Hotel Result pagination tests","","Hotel Result pagination tests","next button should take you to next page","next button should take you to next page",""
"passed","Thu Oct 01 12:42:37 IST 2020","Thu Oct 01 12:42:52 IST 2020","15460","","Hotel Result sorting tests","","Hotel Result sorting tests","sort for Distance","sort for Distance",""
"passed","Thu Oct 01 12:44:49 IST 2020","Thu Oct 01 12:45:06 IST 2020","16218","","Hotel search page tests","","Hotel search page tests","should search Hotels","should search Hotels",""
"passed","Thu Oct 01 12:39:59 IST 2020","Thu Oct 01 12:40:32 IST 2020","33522","","Hotel Result pagination tests","","Hotel Result pagination tests","pagination click test","pagination click test",""
"passed","Thu Oct 01 12:39:16 IST 2020","Thu Oct 01 12:39:17 IST 2020","1004","","Hotel result page tests","","Hotel result page tests","verify hotel location","verify hotel location",""
"passed","Thu Oct 01 12:39:15 IST 2020","Thu Oct 01 12:39:15 IST 2020","21","","Hotel result page tests","","Hotel result page tests","verify result wayfinder information","verify result wayfinder information",""
"passed","Thu Oct 01 12:38:43 IST 2020","Thu Oct 01 12:39:15 IST 2020","32269","","Hotel result page tests","","Hotel result page tests","""before all"" hook for ""verify result wayfinder information""","""before all"" hook for ""verify result wayfinder information""",""
"passed","Thu Oct 01 12:42:08 IST 2020","Thu Oct 01 12:42:26 IST 2020","17907","","Hotel Result sorting tests","","Hotel Result sorting tests","sort for Price per Night","sort for Price per Night",""
"passed","Thu Oct 01 12:42:26 IST 2020","Thu Oct 01 12:42:37 IST 2020","10221","","Hotel Result sorting tests","","Hotel Result sorting tests","sort for Hotel Name","sort for Hotel Name",""
"passed","Thu Oct 01 12:39:17 IST 2020","Thu Oct 01 12:39:29 IST 2020","11994","","Hotel result page tests","","Hotel result page tests","verify hotels are filtered when searched hotel exists","verify hotels are filtered when searched hotel exists",""
"passed","Thu Oct 01 12:44:35 IST 2020","Thu Oct 01 12:44:49 IST 2020","14768","","Hotel search page tests","","Hotel search page tests","""before all"" hook for ""should search Hotels""","""before all"" hook for ""should search Hotels""",""
"passed","Thu Oct 01 12:40:44 IST 2020","Thu Oct 01 12:41:11 IST 2020","27545","","Hotel Result pagination tests","","Hotel Result pagination tests","should hide next button on last page","should hide next button on last page",""
"passed","Thu Oct 01 12:39:29 IST 2020","Thu Oct 01 12:39:36 IST 2020","6301","","Hotel result page tests","","Hotel result page tests"," verify star Rating filter"," verify star Rating filter",""
